,id,date,time,height,type
0,tide0,2021-04-01,00:37:00,0.39,low
1,tide1,2021-04-01,06:08:00,0.91,high
2,tide2,2021-04-01,12:56:00,0.22,low
3,tide3,2021-04-01,19:06:00,0.99,high
4,tide4,2021-04-02,01:21:00,0.42,low
5,tide5,2021-04-02,06:47:00,0.93,high
6,tide6,2021-04-02,13:41:00,0.19,low
7,tide7,2021-04-02,19:57:00,1.0,high
8,tide8,2021-04-03,02:04:00,0.44,low
9,tide9,2021-04-03,07:27:00,0.95,high
10,tide10,2021-04-03,14:26:00,0.19,low
11,tide11,2021-04-03,20:49:00,0.99,high
12,tide12,2021-04-04,02:45:00,0.46,low
13,tide13,2021-04-04,07:09:00,0.95,high
14,tide14,2021-04-04,14:10:00,0.2,low
15,tide15,2021-04-04,20:39:00,0.96,high
16,tide16,2021-04-05,02:26:00,0.48,low
17,tide17,2021-04-05,07:53:00,0.94,high
18,tide18,2021-04-05,14:53:00,0.22,low
19,tide19,2021-04-05,21:31:00,0.93,high
20,tide20,2021-04-06,03:09:00,0.49,low
21,tide21,2021-04-06,08:41:00,0.91,high
22,tide22,2021-04-06,15:37:00,0.24,low
23,tide23,2021-04-06,22:22:00,0.9,high
24,tide24,2021-04-07,03:57:00,0.5,low
25,tide25,2021-04-07,09:35:00,0.87,high
26,tide26,2021-04-07,16:25:00,0.28,low
27,tide27,2021-04-07,23:17:00,0.87,high
28,tide28,2021-04-08,04:55:00,0.51,low
29,tide29,2021-04-08,10:38:00,0.82,high
30,tide30,2021-04-08,17:21:00,0.31,low
31,tide31,2021-04-09,00:16:00,0.85,high
32,tide32,2021-04-09,06:19:00,0.49,low
33,tide33,2021-04-09,11:55:00,0.78,high
34,tide34,2021-04-09,18:35:00,0.35,low
35,tide35,2021-04-10,01:20:00,0.84,high
36,tide36,2021-04-10,07:52:00,0.45,low
37,tide37,2021-04-10,13:28:00,0.77,high
38,tide38,2021-04-10,20:00:00,0.38,low
39,tide39,2021-04-11,02:19:00,0.84,high
40,tide40,2021-04-11,09:00:00,0.39,low
41,tide41,2021-04-11,14:46:00,0.8,high
42,tide42,2021-04-11,21:16:00,0.39,low
43,tide43,2021-04-12,03:08:00,0.84,high
44,tide44,2021-04-12,09:50:00,0.34,low
45,tide45,2021-04-12,15:47:00,0.85,high
46,tide46,2021-04-12,22:11:00,0.4,low
47,tide47,2021-04-13,03:50:00,0.85,high
48,tide48,2021-04-13,10:29:00,0.3,low
49,tide49,2021-04-13,16:36:00,0.89,high
50,tide50,2021-04-13,22:55:00,0.42,low
51,tide51,2021-04-14,04:24:00,0.86,high
52,tide52,2021-04-14,11:03:00,0.28,low
53,tide53,2021-04-14,17:21:00,0.93,high
54,tide54,2021-04-14,23:33:00,0.44,low
55,tide55,2021-04-15,04:54:00,0.87,high
56,tide56,2021-04-15,11:34:00,0.27,low
57,tide57,2021-04-15,18:00:00,0.96,high
58,tide58,2021-04-16,00:06:00,0.46,low
59,tide59,2021-04-16,05:22:00,0.88,high
60,tide60,2021-04-16,12:06:00,0.26,low
61,tide61,2021-04-16,18:36:00,0.97,high
62,tide62,2021-04-17,00:37:00,0.47,low
63,tide63,2021-04-17,05:51:00,0.9,high
64,tide64,2021-04-17,12:39:00,0.26,low
65,tide65,2021-04-17,19:12:00,0.97,high
66,tide66,2021-04-18,01:07:00,0.49,low
67,tide67,2021-04-18,06:21:00,0.91,high
68,tide68,2021-04-18,13:14:00,0.26,low
69,tide69,2021-04-18,19:47:00,0.96,high
70,tide70,2021-04-19,01:37:00,0.5,low
71,tide71,2021-04-19,06:53:00,0.9,high
72,tide72,2021-04-19,13:49:00,0.26,low
73,tide73,2021-04-19,20:21:00,0.95,high
74,tide74,2021-04-20,02:08:00,0.52,low
75,tide75,2021-04-20,07:27:00,0.89,high
76,tide76,2021-04-20,14:23:00,0.27,low
77,tide77,2021-04-20,20:58:00,0.93,high
78,tide78,2021-04-21,02:41:00,0.53,low
79,tide79,2021-04-21,08:03:00,0.87,high
80,tide80,2021-04-21,14:58:00,0.27,low
81,tide81,2021-04-21,21:37:00,0.9,high
82,tide82,2021-04-22,03:21:00,0.53,low
83,tide83,2021-04-22,08:45:00,0.85,high
84,tide84,2021-04-22,15:37:00,0.29,low
85,tide85,2021-04-22,22:22:00,0.88,high
86,tide86,2021-04-23,04:09:00,0.53,low
87,tide87,2021-04-23,09:41:00,0.82,high
88,tide88,2021-04-23,16:24:00,0.32,low
89,tide89,2021-04-23,23:14:00,0.86,high
90,tide90,2021-04-24,05:11:00,0.51,low
91,tide91,2021-04-24,10:54:00,0.8,high
92,tide92,2021-04-24,17:26:00,0.36,low
93,tide93,2021-04-25,00:10:00,0.86,high
94,tide94,2021-04-25,06:25:00,0.46,low
95,tide95,2021-04-25,12:21:00,0.81,high
96,tide96,2021-04-25,18:43:00,0.41,low
97,tide97,2021-04-26,01:06:00,0.86,high
98,tide98,2021-04-26,07:37:00,0.4,low
99,tide99,2021-04-26,13:50:00,0.85,high
100,tide100,2021-04-26,20:03:00,0.45,low
101,tide101,2021-04-27,02:01:00,0.87,high
102,tide102,2021-04-27,08:43:00,0.32,low
103,tide103,2021-04-27,15:08:00,0.92,high
104,tide104,2021-04-27,21:21:00,0.48,low
105,tide105,2021-04-28,02:51:00,0.9,high
106,tide106,2021-04-28,09:42:00,0.26,low
107,tide107,2021-04-28,16:12:00,0.98,high
108,tide108,2021-04-28,22:28:00,0.5,low
109,tide109,2021-04-29,03:37:00,0.92,high
110,tide110,2021-04-29,10:36:00,0.22,low
111,tide111,2021-04-29,17:08:00,1.02,high
112,tide112,2021-04-29,23:19:00,0.52,low
113,tide113,2021-04-30,04:22:00,0.95,high
114,tide114,2021-04-30,11:27:00,0.2,low
115,tide115,2021-04-30,18:01:00,1.05,high
116,tide116,2021-05-01,00:05:00,0.52,low
117,tide117,2021-05-01,05:08:00,0.97,high
118,tide118,2021-05-01,12:15:00,0.2,low
119,tide119,2021-05-01,18:51:00,1.05,high
120,tide120,2021-05-02,00:49:00,0.52,low
121,tide121,2021-05-02,05:56:00,0.98,high
122,tide122,2021-05-02,13:00:00,0.21,low
123,tide123,2021-05-02,19:39:00,1.04,high
124,tide124,2021-05-03,01:32:00,0.52,low
125,tide125,2021-05-03,06:46:00,0.97,high
126,tide126,2021-05-03,13:45:00,0.23,low
127,tide127,2021-05-03,20:25:00,1.01,high
128,tide128,2021-05-04,02:15:00,0.51,low
129,tide129,2021-05-04,07:37:00,0.94,high
130,tide130,2021-05-04,14:27:00,0.27,low
131,tide131,2021-05-04,21:10:00,0.98,high
132,tide132,2021-05-05,03:01:00,0.51,low
133,tide133,2021-05-05,08:32:00,0.9,high
134,tide134,2021-05-05,15:10:00,0.3,low
135,tide135,2021-05-05,21:53:00,0.95,high
136,tide136,2021-05-06,03:51:00,0.5,low
137,tide137,2021-05-06,09:30:00,0.86,high
138,tide138,2021-05-06,15:54:00,0.35,low
139,tide139,2021-05-06,22:39:00,0.93,high
140,tide140,2021-05-07,04:53:00,0.49,low
141,tide141,2021-05-07,10:37:00,0.81,high
142,tide142,2021-05-07,16:45:00,0.4,low
143,tide143,2021-05-07,23:28:00,0.9,high
144,tide144,2021-05-08,06:12:00,0.46,low
145,tide145,2021-05-08,11:57:00,0.79,high
146,tide146,2021-05-08,17:53:00,0.46,low
147,tide147,2021-05-09,00:22:00,0.89,high
148,tide148,2021-05-09,07:22:00,0.42,low
149,tide149,2021-05-09,13:24:00,0.81,high
150,tide150,2021-05-09,19:21:00,0.5,low
151,tide151,2021-05-10,01:19:00,0.87,high
152,tide152,2021-05-10,08:20:00,0.37,low
153,tide153,2021-05-10,14:36:00,0.85,high
154,tide154,2021-05-10,20:43:00,0.52,low
155,tide155,2021-05-11,02:09:00,0.87,high
156,tide156,2021-05-11,09:06:00,0.33,low
157,tide157,2021-05-11,15:34:00,0.91,high
158,tide158,2021-05-11,21:43:00,0.53,low
159,tide159,2021-05-12,02:52:00,0.87,high
160,tide160,2021-05-12,09:45:00,0.3,low
161,tide161,2021-05-12,16:23:00,0.96,high
162,tide162,2021-05-12,22:29:00,0.54,low
163,tide163,2021-05-13,03:28:00,0.88,high
164,tide164,2021-05-13,10:21:00,0.28,low
165,tide165,2021-05-13,17:06:00,1.0,high
166,tide166,2021-05-13,23:08:00,0.55,low
167,tide167,2021-05-14,04:01:00,0.89,high
168,tide168,2021-05-14,10:55:00,0.27,low
169,tide169,2021-05-14,17:46:00,1.02,high
170,tide170,2021-05-14,23:43:00,0.55,low
171,tide171,2021-05-15,04:34:00,0.91,high
172,tide172,2021-05-15,11:31:00,0.27,low
173,tide173,2021-05-15,18:22:00,1.03,high
174,tide174,2021-05-16,00:16:00,0.55,low
175,tide175,2021-05-16,05:08:00,0.92,high
176,tide176,2021-05-16,12:07:00,0.27,low
177,tide177,2021-05-16,18:57:00,1.02,high
178,tide178,2021-05-17,00:48:00,0.55,low
179,tide179,2021-05-17,05:45:00,0.92,high
180,tide180,2021-05-17,12:43:00,0.28,low
181,tide181,2021-05-17,19:30:00,1.01,high
182,tide182,2021-05-18,01:20:00,0.56,low
183,tide183,2021-05-18,06:21:00,0.91,high
184,tide184,2021-05-18,13:18:00,0.29,low
185,tide185,2021-05-18,20:02:00,0.99,high
186,tide186,2021-05-19,01:51:00,0.56,low
187,tide187,2021-05-19,07:00:00,0.9,high
188,tide188,2021-05-19,13:51:00,0.3,low
189,tide189,2021-05-19,20:34:00,0.98,high
190,tide190,2021-05-20,02:26:00,0.55,low
191,tide191,2021-05-20,07:42:00,0.88,high
192,tide192,2021-05-20,14:25:00,0.32,low
193,tide193,2021-05-20,21:08:00,0.96,high
194,tide194,2021-05-21,03:06:00,0.53,low
195,tide195,2021-05-21,08:33:00,0.86,high
196,tide196,2021-05-21,15:03:00,0.34,low
197,tide197,2021-05-21,21:47:00,0.95,high
198,tide198,2021-05-22,03:55:00,0.51,low
199,tide199,2021-05-22,09:36:00,0.85,high
200,tide200,2021-05-22,15:50:00,0.39,low
201,tide201,2021-05-22,22:30:00,0.94,high
202,tide202,2021-05-23,04:54:00,0.46,low
203,tide203,2021-05-23,10:51:00,0.84,high
204,tide204,2021-05-23,16:48:00,0.45,low
205,tide205,2021-05-23,23:18:00,0.93,high
206,tide206,2021-05-24,06:01:00,0.4,low
207,tide207,2021-05-24,12:14:00,0.86,high
208,tide208,2021-05-24,18:02:00,0.52,low
209,tide209,2021-05-25,00:10:00,0.93,high
210,tide210,2021-05-25,07:08:00,0.34,low
211,tide211,2021-05-25,13:43:00,0.91,high
212,tide212,2021-05-25,19:22:00,0.58,low
213,tide213,2021-05-26,01:05:00,0.94,high
214,tide214,2021-05-26,08:11:00,0.27,low
215,tide215,2021-05-26,15:00:00,0.97,high
216,tide216,2021-05-26,20:46:00,0.61,low
217,tide217,2021-05-27,01:59:00,0.95,high
218,tide218,2021-05-27,09:11:00,0.23,low
219,tide219,2021-05-27,16:05:00,1.03,high
220,tide220,2021-05-27,22:04:00,0.61,low
221,tide221,2021-05-28,02:51:00,0.97,high
222,tide222,2021-05-28,10:08:00,0.21,low
223,tide223,2021-05-28,17:02:00,1.06,high
224,tide224,2021-05-28,22:59:00,0.61,low
225,tide225,2021-05-29,03:44:00,0.98,high
226,tide226,2021-05-29,11:02:00,0.21,low
227,tide227,2021-05-29,17:53:00,1.07,high
228,tide228,2021-05-29,23:48:00,0.59,low
229,tide229,2021-05-30,04:37:00,0.99,high
230,tide230,2021-05-30,11:51:00,0.22,low
231,tide231,2021-05-30,18:40:00,1.07,high
232,tide232,2021-05-31,00:34:00,0.56,low
233,tide233,2021-05-31,05:34:00,0.99,high
234,tide234,2021-05-31,12:36:00,0.24,low
235,tide235,2021-05-31,19:23:00,1.06,high
236,tide236,2021-06-01,01:19:00,0.54,low
237,tide237,2021-06-01,06:31:00,0.97,high
238,tide238,2021-06-01,13:21:00,0.28,low
239,tide239,2021-06-01,20:04:00,1.04,high
240,tide240,2021-06-02,02:05:00,0.52,low
241,tide241,2021-06-02,07:28:00,0.93,high
242,tide242,2021-06-02,14:03:00,0.32,low
243,tide243,2021-06-02,20:43:00,1.02,high
244,tide244,2021-06-03,02:51:00,0.5,low
245,tide245,2021-06-03,08:25:00,0.89,high
246,tide246,2021-06-03,14:43:00,0.36,low
247,tide247,2021-06-03,21:21:00,1.0,high
248,tide248,2021-06-04,03:43:00,0.48,low
249,tide249,2021-06-04,09:23:00,0.85,high
250,tide250,2021-06-04,15:24:00,0.41,low
251,tide251,2021-06-04,22:01:00,0.98,high
252,tide252,2021-06-05,04:41:00,0.46,low
253,tide253,2021-06-05,10:28:00,0.82,high
254,tide254,2021-06-05,16:10:00,0.47,low
255,tide255,2021-06-05,22:41:00,0.95,high
256,tide256,2021-06-06,05:44:00,0.43,low
257,tide257,2021-06-06,11:45:00,0.82,high
258,tide258,2021-06-06,17:06:00,0.53,low
259,tide259,2021-06-06,23:25:00,0.93,high
260,tide260,2021-06-07,06:40:00,0.39,low
261,tide261,2021-06-07,13:06:00,0.84,high
262,tide262,2021-06-07,18:26:00,0.59,low
263,tide263,2021-06-08,00:12:00,0.91,high
264,tide264,2021-06-08,07:31:00,0.35,low
265,tide265,2021-06-08,14:15:00,0.89,high
266,tide266,2021-06-08,19:53:00,0.63,low
267,tide267,2021-06-09,00:59:00,0.89,high
268,tide268,2021-06-09,08:17:00,0.32,low
269,tide269,2021-06-09,15:13:00,0.94,high
270,tide270,2021-06-09,21:05:00,0.63,low
271,tide271,2021-06-10,01:45:00,0.88,high
272,tide272,2021-06-10,08:59:00,0.29,low
273,tide273,2021-06-10,16:04:00,0.99,high
274,tide274,2021-06-10,21:58:00,0.63,low
275,tide275,2021-06-11,02:29:00,0.89,high
276,tide276,2021-06-11,09:40:00,0.27,low
277,tide277,2021-06-11,16:49:00,1.02,high
278,tide278,2021-06-11,22:41:00,0.62,low
279,tide279,2021-06-12,03:11:00,0.9,high
280,tide280,2021-06-12,10:21:00,0.26,low
281,tide281,2021-06-12,17:29:00,1.04,high
282,tide282,2021-06-12,23:20:00,0.6,low
283,tide283,2021-06-13,03:54:00,0.91,high
284,tide284,2021-06-13,11:01:00,0.27,low
285,tide285,2021-06-13,18:06:00,1.04,high
286,tide286,2021-06-13,23:55:00,0.59,low
287,tide287,2021-06-14,04:36:00,0.92,high
288,tide288,2021-06-14,11:40:00,0.28,low
289,tide289,2021-06-14,18:39:00,1.03,high
290,tide290,2021-06-15,00:29:00,0.58,low
291,tide291,2021-06-15,05:18:00,0.92,high
292,tide292,2021-06-15,12:17:00,0.29,low
293,tide293,2021-06-15,19:10:00,1.02,high
294,tide294,2021-06-16,01:03:00,0.57,low
295,tide295,2021-06-16,06:01:00,0.91,high
296,tide296,2021-06-16,12:51:00,0.31,low
297,tide297,2021-06-16,19:39:00,1.01,high
298,tide298,2021-06-17,01:38:00,0.55,low
299,tide299,2021-06-17,06:47:00,0.9,high
300,tide300,2021-06-17,13:24:00,0.32,low
301,tide301,2021-06-17,20:08:00,1.0,high
302,tide302,2021-06-18,02:16:00,0.53,low
303,tide303,2021-06-18,07:38:00,0.88,high
304,tide304,2021-06-18,13:59:00,0.35,low
305,tide305,2021-06-18,20:40:00,1.0,high
306,tide306,2021-06-19,02:57:00,0.49,low
307,tide307,2021-06-19,08:35:00,0.88,high
308,tide308,2021-06-19,14:38:00,0.39,low
309,tide309,2021-06-19,21:14:00,1.0,high
310,tide310,2021-06-20,03:44:00,0.45,low
311,tide311,2021-06-20,09:36:00,0.87,high
312,tide312,2021-06-20,15:23:00,0.45,low
313,tide313,2021-06-20,21:51:00,0.99,high
314,tide314,2021-06-21,04:37:00,0.4,low
315,tide315,2021-06-21,10:45:00,0.88,high
316,tide316,2021-06-21,16:19:00,0.52,low
317,tide317,2021-06-21,22:35:00,0.99,high
318,tide318,2021-06-22,05:38:00,0.34,low
319,tide319,2021-06-22,12:06:00,0.89,high
320,tide320,2021-06-22,17:26:00,0.59,low
321,tide321,2021-06-22,23:25:00,0.98,high
322,tide322,2021-06-23,06:42:00,0.29,low
323,tide323,2021-06-23,13:34:00,0.93,high
324,tide324,2021-06-23,18:46:00,0.65,low
325,tide325,2021-06-24,00:21:00,0.98,high
326,tide326,2021-06-24,07:45:00,0.24,low
327,tide327,2021-06-24,14:51:00,0.98,high
328,tide328,2021-06-24,20:10:00,0.67,low
329,tide329,2021-06-25,01:21:00,0.97,high
330,tide330,2021-06-25,08:47:00,0.22,low
331,tide331,2021-06-25,15:55:00,1.02,high
332,tide332,2021-06-25,21:38:00,0.66,low
333,tide333,2021-06-26,02:19:00,0.98,high
334,tide334,2021-06-26,09:46:00,0.21,low
335,tide335,2021-06-26,16:51:00,1.04,high
336,tide336,2021-06-26,22:41:00,0.63,low
337,tide337,2021-06-27,03:18:00,0.97,high
338,tide338,2021-06-27,10:41:00,0.22,low
339,tide339,2021-06-27,17:39:00,1.05,high
340,tide340,2021-06-27,23:33:00,0.59,low
341,tide341,2021-06-28,04:21:00,0.97,high
342,tide342,2021-06-28,11:32:00,0.24,low
343,tide343,2021-06-28,18:21:00,1.05,high
344,tide344,2021-06-29,00:21:00,0.55,low
345,tide345,2021-06-29,05:24:00,0.96,high
346,tide346,2021-06-29,12:17:00,0.27,low
347,tide347,2021-06-29,19:00:00,1.04,high
348,tide348,2021-06-30,01:06:00,0.51,low
349,tide349,2021-06-30,06:24:00,0.93,high
350,tide350,2021-06-30,13:00:00,0.3,low
351,tide351,2021-06-30,19:36:00,1.03,high
352,tide352,2021-07-01,01:52:00,0.48,low
353,tide353,2021-07-01,07:20:00,0.91,high
354,tide354,2021-07-01,13:40:00,0.35,low
355,tide355,2021-07-01,20:12:00,1.02,high
356,tide356,2021-07-02,02:37:00,0.45,low
357,tide357,2021-07-02,08:14:00,0.88,high
